SOURCE OF WATER,WATER SYSTEM,PFAS RESULT,POTENTIAL PFAS USER,INDICATOR SCORE,DISTANCE
SWP,WEST SHELBY WATER DISTRICT,NS,SONOCO PROTECTIVE SOLUTIONS INC,50,8.660541041
SWP,BATH COUNTY WATER DISTRICT,NS,CTI FOODS,25,8.653169309
SWP,SHARPSBURG WATER DISTRICT,NS,KEY OIL CO MOUNT STERLING BULK PLANT,75,8.634574761
SW,CENTRAL CITY WATER & SEWER,1.21,US TVA PARADISE FOSSIL PLANT,25,8.633228354
GW,BAR X TRAILER PARK,NS,CYMETECH CORP,100,8.632333956
GW,BAR X TRAILER PARK,NS,LUBRIZOL ADVANCED MATERIALS INC,100,8.632333956
SWP,CAVELAND ENVIRONMENTAL AUTHORITY,NS,NEMAK; GLASGOW PLANT #2,25,8.631112465
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,GENERAL EQUIPMENT & MANUFACTURING CO INC,25,8.626980877
GW,ARLINGHAUS PROPERTY,ND,SOUTHERN GRAPHIC SYSTEMS LLC,25,8.62478344
GW,TRAPP WATER COMPANY,ND,SOUTHERN GRAPHIC SYSTEMS LLC,25,8.62478344
SWP,MULDRAUGH WATER DEPARTMENT,NS,LOUISVILLE GAS & ELECTRIC CO - MILL CREEK STATION,25,8.624129678
SW,HARDIN CO. WATER DIST #1/FT. KNOX,NS,FLINT CPS INKS NA LLC,100,8.603473852
SW,HARDIN COUNTY WATER DISTRICT #1,NS,FLINT CPS INKS NA LLC,100,8.603473852
GW,NORTH MARSHALL WATER DISTRICT #1,NS,WESTLAKE VINYLS INC,100,8.601185972
SWP,JEFFERSONVILLE WATER SYSTEM,NS,COOPER STANDARD AUTOMOTIVE,50,8.595428095
GW,ARLINGHAUS PROPERTY,ND,GIVAUDAN FLAVORS CORP,25,8.590345979
GW,TRAPP WATER COMPANY,ND,GIVAUDAN FLAVORS CORP,25,8.590345979
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,AZZ GALVANIZING SERVICES-LOUISVILLE,50,8.588046252
SWP,BOONE-FLORENCE WATER COMMISSION,NS,MPLX TERMINALS LLC - COVINGTON KY TERMINAL,75,8.586299709
SWP,FLORENCE WATER & SEWER,NS,MPLX TERMINALS LLC - COVINGTON KY TERMINAL,75,8.586299709
SW,MARION WATER DEPARTMENT,NS,HENDRICKSON TRUCK SUSPENSION SYSTEMS,25,8.581050103
SWP,SACRAMENTO WATER WORKS,NS,PERDUE FARMS INC LIVERMORE FEEDMILL,25,8.572621214
SWP,NORTH SHELBY WATER DISTRICT,NS,LIBERTAS COPPER LLC,50,8.566820342
SWP,US 60 WATER DISTRICT,NS,LIBERTAS COPPER LLC,50,8.566820342
GW,ARLINGHAUS PROPERTY,ND,CRANE COMPOSITES INC,50,8.556393863
GW,TRAPP WATER COMPANY,ND,CRANE COMPOSITES INC,50,8.556393863
SW,LEBANON WATER WORKS CO INC,NS,ALLTECH INC,25,8.551140886
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,CREOSALUS INC,100,8.548727057
SWP,BURGIN WATER DEPARTMENT,NS,INTELLIGRATED SYSTEMS LLC,25,8.542566153
GW,HAWESVILLE WATER WORKS,ND,DAL-TILE CORP LEWISPORT PLANT,50,8.542097125
SW,KUTTAWA WATER DEPARTMENT,NS,CYMETECH CORP,100,8.514148291
SW,KUTTAWA WATER DEPARTMENT,NS,LUBRIZOL ADVANCED MATERIALS INC,100,8.514148291
SWP,LYON COUNTY WATER DISTRICT,NS,CYMETECH CORP,100,8.514148291
SWP,LYON COUNTY WATER DISTRICT,NS,LUBRIZOL ADVANCED MATERIALS INC,100,8.514148291
SWP,KENTUCKY AMERICAN WATER- MILLERSBURG,NS,PRESTRESS SERVICES INDUSTRIES LLC-LEXINGTON BRANCH,50,8.504606252
SWP,KENTUCKY AMERICAN WATER - EASTERN ROCKCA,NS,PRESTRESS SERVICES INDUSTRIES LLC-LEXINGTON BRANCH,50,8.504606252
SWP,JEFFERSONVILLE WATER SYSTEM,NS,OLYMPIA LUMBER & POST INC,50,8.504458342
SWP,SO WOODFORD CO WATER DISTRICT,NS,FEDERAL MEDICAL CENTER LEXINGTON,25,8.501487265
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,FRONTIER LOGISTICAL SERVICES LLC,100,8.495978202
SW,SOMERSET WATER SERVICE,NS,TOYOTETSU AMERICA INC,25,8.484528291
GW,CALVERT CITY MUNICIPAL WATER DEPARTMENT,ND,ARCOSA MARINE PRODUCTS INC PLT 1245,50,8.464766074
SWP,BOONE-FLORENCE WATER COMMISSION,NS,BEST SANITIZERS INC,100,8.457748261
SWP,FLORENCE WATER & SEWER,NS,BEST SANITIZERS INC,100,8.457748261
SWP,ELKHORN WATER DISTRICT,NS,AMERICAN HOWA OF KENTUCKY GEORGETOWN,25,8.456609111
SWP,PEAKS MILL WATER DISTRICT,NS,AMERICAN HOWA OF KENTUCKY GEORGETOWN,25,8.456609111
SWP,SO WOODFORD CO WATER DISTRICT,NS,OLDCASTLE PRECAST INC,50,8.455929782
SW,KENTUCKY-AMERICAN WATER CO-Richmond,1.39,OLDCASTLE PRECAST INC,50,8.455278192
SW,FRANKLIN WATER WORKS,NS,CONSTELLIUM-UACJ ABS LLC,50,8.450966911
SW,BEREA MUNICIPAL UTILITIES,NS,OKONITE CO INC,25,8.447168122
SWP,NE WOODFORD CO WATER DISTRICT,NS,YKK (USA) INC SNAP & BUTTON PRODUCTS,50,8.431741291
SWP,NE WOODFORD CO WATER DISTRICT,NS,AMERICAN HOWA OF KENTUCKY GEORGETOWN,25,8.431627617
SWP,ELKHORN WATER DISTRICT,NS,YKK (USA) INC SNAP & BUTTON PRODUCTS,50,8.418731631
SWP,PEAKS MILL WATER DISTRICT,NS,YKK (USA) INC SNAP & BUTTON PRODUCTS,50,8.418731631
SWP,CAVELAND ENVIRONMENTAL AUTHORITY,NS,LSC COMMUNICATIONS / GLASGOW,25,8.409104444
GW,TROCADERO PLAZA,NS,GIBBS DIE CASTING CORP,50,8.386242579
GW,NORTH MARSHALL WATER DISTRICT #1,NS,ISP CHEMICALS LLC,100,8.385453834
SWP,OAK GROVE UTILITIES OFFICE,NS,AMFINE CHEMICAL CORP,100,8.380975753
SWP,SLAUGHTERS WATER WORKS,NS,PHOENIX FABRICATORS & ERECTORS INC,50,8.370502747
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,CARBIDE INDUSTRIES LLC,100,8.347386746
SWP,BIG SANDY WATER DISTRICT,NS,HUNTINGTON ALLOYS CORP,50,8.325911937
GW,NORTH MARSHALL WATER DISTRICT #1,NS,CYMETECH CORP,100,8.314105144
GW,NORTH MARSHALL WATER DISTRICT #1,NS,LUBRIZOL ADVANCED MATERIALS INC,100,8.314105144
SWP,OWINGSVILLE WATER WORKS,NS,OLYMPIA LUMBER & POST INC,50,8.310411229
SW,FRANKLIN WATER WORKS,NS,AMERICAN HOWA KENTUCKY INC,25,8.308217986
GW,DOMTAR PAPER BLEACHED PULP,NS,DAL-TILE CORP LEWISPORT PLANT,50,8.306146507
GW,DOMTAR PAPER CORRUGATED ME,NS,DAL-TILE CORP LEWISPORT PLANT,50,8.306146507
SW,DANVILLE CITY WATER WORKS,NS,CORNING INC,50,8.301525666
SW,KENTUCKY-AMERICAN WATER CO-Richmond,1.39,PRESTRESS SERVICES INDUSTRIES LLC-LEXINGTON BRANCH,50,8.293491777
SWP,NORTH MANCHESTER WATER ASSOC,NS,FCI MANCHESTER,25,8.272619017
SWP,BATH COUNTY WATER DISTRICT,NS,OLYMPIA LUMBER & POST INC,50,8.27022945
SW,FRANKLIN WATER WORKS,NS,SHILOH - BOWLING GREEN,25,8.258363974
SWP,SCIENCE HILL WATER WORKS,NS,UGN INC,25,8.256698644
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,BAE SYSTEMS,50,8.250364495
SW,CENTRAL CITY WATER & SEWER,1.21,THE MUHLENBERG COUNTY COAL CO - PRIDE MINE,75,8.248727847
SW,PRESTONSBURG CITY UTILITIES,NS,FEDERAL BUREAU OF PRISONS USP BIG SANDY,25,8.239574697
SWP,GRAND RIVERS WATER SYSTEM,NS,ARKEMA INC,100,8.236543645
GW,NORTH MARSHALL WATER DISTRICT #1,NS,WESTLAKE PVC CORP,100,8.222762158
GWP,WHITESVILLE WATER WORKS,NS,HINES PRECISION INC,50,8.211736668
SWP,JEFFERSONVILLE WATER SYSTEM,NS,MASCO CABINETRY LLC (FORMERLY MASCO BUILDER CABINET GROUP),25,8.210869819
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,VALERO LOUISVILLE TERMINAL,75,8.208748418
SW,GEORGETOWN MUNICIPAL WATER SERVICE,11.08,WEBASTO ROOF SYSTEMS INC,25,8.197914578
SWP,NEBO WATER DISTRICT,NS,AHLSTROM-MIUNKSJO FILTRATION LLC,25,8.194264595
SW,ASHLAND WATER WORKS,25,CALGON CARBON CORP,100,8.188559298
SWP,LEDBETTER WATER DISTRICT,ND,CYMETECH CORP,100,8.188299234
SWP,LEDBETTER WATER DISTRICT,ND,LUBRIZOL ADVANCED MATERIALS INC,100,8.188299234
SW,MARION WATER DEPARTMENT,NS,ANGELL-DEMMEL NA,25,8.188052219
SWP,NORTH MERCER WATER DISTRICT,NS,YKK (USA) INC SNAP & BUTTON PRODUCTS,50,8.180711372
GW,ARLINGHAUS PROPERTY,ND,JOHNSON CONTROLS BATTERY GROUP LLC,50,8.180084641
GW,TRAPP WATER COMPANY,ND,JOHNSON CONTROLS BATTERY GROUP LLC,50,8.180084641
SWP,SOUTHEASTERN WATER ASSOC/NELSON VALLEY,NS,HENDRICKSON TRAILER SUSPENSION SYSTEMS,25,8.172021265
GWP,E DAVIESS CO WATER ASSOC INC,NS,OWENSBORO MUNICIPAL UTILITIES ELMER SMITH STATION,25,8.156266991
GW,NORTH MARSHALL WATER DISTRICT #1,NS,WACKER CHEMICAL CORP POLYMERS DIV,100,8.148151424
SWP,OWINGSVILLE WATER WORKS,NS,MASCO CABINETRY LLC (FORMERLY MASCO BUILDER CABINET GROUP),25,8.096349596
GW,NORTH MARSHALL WATER DISTRICT #1,NS,SEKISUI SPECIALTY CHEMICALS AMERICA LLC,100,8.093064349
GW,NORTH MARSHALL WATER DISTRICT #1,NS,ESTRON CHEMICALS INC,100,8.083205573
SWP,WEST MCCRACKEN CO WATER DISTRICT,17.35,JSC TERMINAL LLC (DBA MIDWEST TERMINAL),75,8.081279329
GW,ARLINGHAUS PROPERTY,ND,OBARA CORP USA,25,8.080424785
GW,TRAPP WATER COMPANY,ND,OBARA CORP USA,25,8.080424785
GW,TROCADERO PLAZA,NS,TEKNOR COLOR COMPANY/TEKNOR PE RFORMANCE ELASTOMERS,100,8.076606153
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,POLYONE CORP,100,8.070235401
SWP,WORTHINGTON MUNICIPAL WATER WORKS,4.9,FEDERAL CORRECTIONAL INSTITUTION ASHLAND KY,25,8.062321515
GW,ARLINGHAUS PROPERTY,ND,GREIF PACKAGING LLC,50,8.050088364
GW,TRAPP WATER COMPANY,ND,GREIF PACKAGING LLC,50,8.050088364
SWP,NORTH SHELBY WATER DISTRICT,NS,SONOCO PROTECTIVE SOLUTIONS INC,50,8.040694298
SWP,US 60 WATER DISTRICT,NS,SONOCO PROTECTIVE SOLUTIONS INC,50,8.040694298
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,LUBRIZOL ADVANCED MATERIALS INC,100,8.03724856
SW,LONDON UTILITY COMMISSION,NS,AISIN AUTOMOTIVE CASTING LLC,50,8.033416062
GW,ARLINGHAUS PROPERTY,ND,SFC GLOBAL SUPPLY CHAIN INC FLORENCE KY,25,8.026957746
GW,TRAPP WATER COMPANY,ND,SFC GLOBAL SUPPLY CHAIN INC FLORENCE KY,25,8.026957746
GW,SHILOH DOLLAR GENERAL-SUSAN COX,NS,BRIGGS & STRATTON CORP,25,8.012812493
GW,TROCADERO PLAZA,NS,SONOCO PRODUCTS,50,8.011699825
SWP,KENTUCKY AMERICAN WATER- MILLERSBURG,NS,FEDERAL MEDICAL CENTER LEXINGTON,25,8.010614574
SWP,KENTUCKY AMERICAN WATER - EASTERN ROCKCA,NS,FEDERAL MEDICAL CENTER LEXINGTON,25,8.010614574
SWP,SOUTHERN MADISON WATER DISTRICT,NS,US ARMY BLUE GRASS ARMY DEPOT,25,7.974450368
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,LEDVANCE LLC,50,7.97055087
SWP,WALTON WATERWORKS DEPARTMENT,NS,GREIF PACKAGING LLC,50,7.970239967
SWP,SOUTHEASTERN WATER ASSOC/NELSON VALLEY,NS,TOYOTETSU AMERICA INC,25,7.965544851
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,ZEON CHEMICALS LP,100,7.947324559
GW,ARLINGHAUS PROPERTY,ND,GE ALSTOM POWER,50,7.944103489
GW,TRAPP WATER COMPANY,ND,GE ALSTOM POWER,50,7.944103489
SWP,LEDBETTER WATER DISTRICT,ND,JSC TERMINAL LLC (DBA MIDWEST TERMINAL),75,7.935794393
SWP,OWINGSVILLE WATER WORKS,NS,COOPER STANDARD AUTOMOTIVE,50,7.933320058
GW,CAMP TURNABOUT,NS,BEST SANITIZERS INC,100,7.931966975
SWP,CENTERTOWN WATER SYSTEM,NS,PERDUE FARMS INC LIVERMORE FEEDMILL,25,7.929462698
SW,LOUISVILLE WATER COMPANY-Payne Plant,10.07,SWIFT & CO,25,7.922935053
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,RONAN ENGINEERING CO,25,7.917400751
SW,GREENSBURG WATER WORKS,NS,T MARZETTI CO,25,7.917067198
SWP,MUNFORDVILLE WATER DEPT,NS,T MARZETTI CO,25,7.90747958
GW,WESTERN SHORES PAVILION,NS,ARKEMA INC,100,7.901670958
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,O'NEAL STEEL INC,50,7.892535574
GW,MILTON WATER & SEWER DEPARTMENT,ND,LOUISVILLE GAS & ELECTRIC CO - TRIMBLE COUNTY STATION,25,7.889215419
GW,NORTH MARSHALL WATER DISTRICT #1,NS,EVONIK CORP CALVERT CITY PLANT,100,7.884738628
SWP,WALTON WATERWORKS DEPARTMENT,NS,M-I LLC SWECO DIV,25,7.864941643
SWP,WALTON WATERWORKS DEPARTMENT,NS,EAGLE MANUFACTURING LLC,25,7.864717607
SWP,KIRKSVILLE WATER ASSOCIATION,NS,US ARMY BLUE GRASS ARMY DEPOT,25,7.845151345
SWP,MADISON CO UTILITIES DISTRICT,NS,US ARMY BLUE GRASS ARMY DEPOT,25,7.845151345
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,CLARIANT CORP CRITTENDEN DRIVE FACILITY,100,7.844135777
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,THUSSENKRUPP ROTHE ERDE USA INC,50,7.843466616
GW,TROCADERO PLAZA,NS,AUDUBON METALS LLC,50,7.843349429
SW,LEITCHFIELD WATER WORKS,NS,ESCUE WOOD PRESERVING INC,50,7.836287131
GWP,E DAVIESS CO WATER ASSOC INC,NS,DARAMIC LLC,50,7.824059623
SW,HOPKINSVILLE WATER ENVIRONMENT AUTHORITY,NS,AMFINE CHEMICAL CORP,100,7.818980351
SW,WOOD CREEK WATER DISTRICT,NS,BORDEN DAIRY,25,7.818917974
SWP,MORTONS GAP WATER DEPARTMENT,NS,AHLSTROM-MIUNKSJO FILTRATION LLC,25,7.813232034
SWP,MULDRAUGH WATER DEPARTMENT,NS,CEMEX KOSMOS CEMENT CO,50,7.811923756
SWP,SO ANDERSON WATER DISTRICT,NS,LEDVANCE LLC,50,7.811000436
SW,LAWRENCEBURG WATER & SEWER DEPT,NS,LEDVANCE LLC,50,7.810991487
SW,GEORGETOWN MUNICIPAL WATER SERVICE,11.08,FEDERAL MEDICAL CENTER LEXINGTON,25,7.810506046
SW,FRANKLIN WATER WORKS,NS,PAN OSTON CO,25,7.798247729
GW,ELLIS PARK RACE COURSE,NS,HYDRO ALUMINUM METALS USA LLC,50,7.796872232
SWP,CALHOUN WATER WORKS,NS,PERDUE FARMS INC LIVERMORE FEEDMILL,25,7.796123276
SW,MONTICELLO WATER & SEWER COMMISSION,NS,BELDEN WIRE & CABLE,25,7.777819819
SW,BOWLING GREEN MUNICIPAL UTILITIES,ND,CONSTELLIUM-UACJ ABS LLC,50,7.77750818
SWP,MAMMOTH CAVE/CENTRAL SYSTEM,NS,FELKER BROTHERS,50,7.774706733
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,FEDERAL MEDICAL CENTER LEXINGTON,25,7.763322071
SWP,BOONE-FLORENCE WATER COMMISSION,NS,INTERPLASTIC CORP-FORT WRIGHT,100,7.761090035
SWP,FLORENCE WATER & SEWER,NS,INTERPLASTIC CORP-FORT WRIGHT,100,7.761090035
SWP,CITY OF WEST POINT,NS,MOUSER CUSTOM CABINETRY,25,7.747095452
SW,KENTUCKY-AMERICAN WATER CO-Richmond,1.39,CERADYNE INC A 3M CO,25,7.734815209
GW,WARSAW WATER WORKS,ND,KENTUCKY UTILITIES CO GHENT STATION,25,7.734701841
SWP,BLUEGRASS STATION,NS,CENTRAL KENTUCKY PROCESSING INC,50,7.731814586
GW,SHILOH DOLLAR GENERAL-SUSAN COX,NS,SAPUTO DAIRY FOODS USA LLC,25,7.728296331
GW,OWENSBORO MUNICIPAL UTILITIES-Cavin Plant,2.13,OWENSBORO SPECIALTY POLYMERS INC,100,7.722794194
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,GE APPLIANCES A HAIER CO - APPLIANCE PARK,25,7.712587117
SW,FRANKLIN WATER WORKS,NS,BOWLING GREEN METALFORMING,25,7.711082011
SWP,BLUEGRASS STATION,NS,LINK-BELT CRANES LP LLLP A DELAWARE LTD LIABILITY L,25,7.710443276
SWP,LEDBETTER WATER DISTRICT,ND,WESTLAKE VINYLS INC,100,7.70741541
SW,SPRINGFIELD WATER WORKS,NS,PORTLAND FORGE AN ALLEGHENYTE CHNOLOGY CO,50,7.691685764
GW,CAMP ROBERT C WEBB,NS,THE SMITHFIELD PACKAGED MEATS CORP - GRAYSON,25,7.691654078
SWP,SHARPSBURG WATER DISTRICT,NS,MASCO CABINETRY LLC (FORMERLY MASCO BUILDER CABINET GROUP),25,7.686892475
SWP,FARMDALE WATER DISTRICT,NS,YKK (USA) INC SNAP & BUTTON PRODUCTS,50,7.680851889
SWP,LEDBETTER WATER DISTRICT,ND,EVONIK CORP,100,7.673333941
SWP,JEFFERSONVILLE WATER SYSTEM,NS,KEY OIL CO MOUNT STERLING BULK PLANT,75,7.666792984
SWP,SOUTHEASTERN WATER ASSOC/NELSON VALLEY,NS,JOHN S COOPER POWER STATION,25,7.6515247
GW,WESTERN MASON CO WATER DISTRICT,NS,GREEN TOKAI CO - MAYSVILLE,25,7.645295631
SWP,SO WOODFORD CO WATER DISTRICT,NS,AMERICAN HOWA OF KENTUCKY GEORGETOWN,25,7.640133071
SWP,EAST LOGAN WATER DISTRICT,NS,LOGAN ALUMINUM INC,50,7.629900855
SWP,WALTON WATERWORKS DEPARTMENT,NS,RONAN ENGINEERING CO,25,7.628701847
SW,KENTUCKY-AMERICAN WATER CO-Richmond,1.39,SCHNEIDER ELECTRIC USA INC,25,7.621672979
GW,RIVER'S EDGE CAMPGROUND,NS,KENTUCKY UTILITIES CO GHENT STATION,25,7.618593078
SWP,WALTON WATERWORKS DEPARTMENT,NS,CRANE COMPOSITES INC,50,7.61600573
SWP,WALTON WATERWORKS DEPARTMENT,NS,MUBEA INC,50,7.613181416
SWP,GRAND RIVERS WATER SYSTEM,NS,ISP CHEMICALS LLC,100,7.60734452
GW,KEVIL WATER DEPARTMENT,ND,US TVA SHAWNEE FOSSIL PLANT,25,7.606695836
GW,CAMP TURNABOUT,NS,ESCO CORP,25,7.60037356
SWP,WALTON WATERWORKS DEPARTMENT,NS,CELANESE ENGINEERED MATERIALS,100,7.594170867
SWP,WALTON WATERWORKS DEPARTMENT,NS,SFC GLOBAL SUPPLY CHAIN INC FLORENCE KY,25,7.592623906
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,KEEBLER CO,25,7.573250978
SWP,BOONE CO WATER & SEWER DISTRICT,NS,BENDA-LUTZ CORP,100,7.565267699
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,ROBERT BOSCH AUTOMOTIVE STEERING LLC,25,7.561957351
SWP,WALTON WATERWORKS DEPARTMENT,NS,ARISTECH SURFACES LLC,50,7.559852095
SWP,WALTON WATERWORKS DEPARTMENT,NS,ARISTECH SURFACES LLC,50,7.559852095
GW,WESTERN SHORES PAVILION,NS,CC METALS & ALLOYS LLC,50,7.554555899
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,CAMCO CHEMICAL CO INC,100,7.550103201
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,ALLNEX USA INC,100,7.542642439
GW,ARLINGHAUS PROPERTY,ND,MEYER TOOL INC,25,7.535946907
GW,TRAPP WATER COMPANY,ND,MEYER TOOL INC,25,7.535946907
SWP,ISLAND WATER DEPARTMENT,NS,THE WESTERN KENTUCKY COAL CO - GENESIS MINE,75,7.528210288
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,A O SMITH CORP PROTECTIVE COATINGS DIV,100,7.522956402
SWP,WALTON WATERWORKS DEPARTMENT,NS,CAMCO CHEMICAL CO INC,100,7.522332566
SWP,GRAND RIVERS WATER SYSTEM,NS,CC METALS & ALLOYS LLC,50,7.520673842
GW,POTTERS RANCH,NS,EAGLE MANUFACTURING LLC,25,7.515253324
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,FIRESTONE BUILDING PRODUCTS,50,7.515198342
SWP,WALTON WATERWORKS DEPARTMENT,NS,THUSSENKRUPP ROTHE ERDE USA INC,50,7.507736688
SW,BOWLING GREEN MUNICIPAL UTILITIES,ND,AMERICAN HOWA KENTUCKY INC,25,7.488052858
SWP,RACELAND WATER SYSTEM,NS,FEDERAL CORRECTIONAL INSTITUTION ASHLAND KY,25,7.487446729
GW,POTTERS RANCH,NS,GREIF PACKAGING LLC,50,7.486515864
GW,POTTERS RANCH,NS,M-I LLC SWECO DIV,25,7.477907861
SW,BOWLING GREEN MUNICIPAL UTILITIES,ND,SHILOH - BOWLING GREEN,25,7.463847109
SW,MARION WATER DEPARTMENT,NS,CURTIS-MARUYASU AMERICA INC,25,7.462111269
SW,MARION WATER DEPARTMENT,NS,PORTLAND FORGE AN ALLEGHENYTE CHNOLOGY CO,50,7.461754295
GWP,S E DAVIESS CO WATER DISTRICT,NS,DARAMIC LLC,50,7.440307067
GWP,WEST DAVIESS CO WATER DISTRICT,NS,DARAMIC LLC,50,7.440307067
SW,BEREA MUNICIPAL UTILITIES,NS,US ARMY BLUE GRASS ARMY DEPOT,25,7.431365677
SWP,BUFFALO TRAIL WATER ASSOC,NS,RIDLEY BLOCK OPERATIONS,25,7.430883607
SWP,JEFFERSONVILLE WATER SYSTEM,NS,MERIDIAN BRICK - STANTON PLANT,50,7.418863374
SWP,FARMDALE WATER DISTRICT,NS,TOPY AMERICA INC,25,7.408611391
SWP,FRENCHBURG WATER COMPANY,NS,OLYMPIA LUMBER & POST INC,50,7.398141075
SWP,CHRISTIAN CO WATER DISTRICT,NS,COMMONWEALTH AGRI-ENERGY LLC,100,7.397388302
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,EAGLE MANUFACTURING LLC,25,7.391517979
SWP,WALTON WATERWORKS DEPARTMENT,NS,SOUTHERN GRAPHIC SYSTEMS LLC,25,7.39074428
SWP,WALTON WATERWORKS DEPARTMENT,NS,A O SMITH CORP PROTECTIVE COATINGS DIV,100,7.390454687
SW,HARRODSBURG MUNICIPAL WATER DEPARTMENT,NS,KENTUCKY UTILITIES CO - E W BROWN STATION,25,7.387531032
SW,JAMESTOWN MUNICIPAL WATER WORKS,NS,SUPERIOR BATTERY MANUFACTURING CO INC,25,7.384603502
GW,POTTERS RANCH,NS,RONAN ENGINEERING CO,25,7.381684604
SW,PERDUE FARMS INC,1.01,MCHENRY BRASS INC,50,7.342764826
SW,LOUISVILLE WATER COMPANY-Crescent Hill,9.66,FAURECIA EXHAUST SYSTEMS INC LOUISVILLE PLANT,25,7.336930076
SW,KENTUCKY-AMERICAN WATER CO-Richmond,1.39,TRANE INGERSOLL RAND,25,7.335331855
SW,CENTRAL CITY WATER & SEWER,1.21,THE WESTERN KENTUCKY COAL CO - GENESIS MINE,75,7.318340777
GW,ELLIS PARK RACE COURSE,NS,EASTERN ALLOYS OF KENTUCKY,50,7.31624174
SWP,WALTON WATERWORKS DEPARTMENT,NS,JOHNSON CONTROLS BATTERY GROUP LLC,50,7.313409792
SWP,WALTON WATERWORKS DEPARTMENT,NS,FIRESTONE BUILDING PRODUCTS,50,7.308694316
SWP,SHARPSBURG WATER DISTRICT,NS,COOPER STANDARD AUTOMOTIVE,50,7.289459549
SWP,GRAND RIVERS WATER SYSTEM,NS,ESTRON CHEMICALS INC,100,7.286173366
SWP,CAVELAND ENVIRONMENTAL AUTHORITY,NS,FELKER BROTHERS,50,7.276610815
GW,PILGRIMS PRIDE CORP,NS,PILGRIM'S PRIDE CORP MAYFIELD KY FEED MILL,25,7.275942988
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,SAFRAN LANDING SYSTEMS KENTUCKY LLC,25,7.269189961
GWP,LAGRANGE UTILITIES COMMISSION,NS,ARVIN SANGO INC,25,7.263842392
SWP,FARMDALE WATER DISTRICT,NS,NASHVILLE WIRE PRODUCTS,50,7.259861809
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,KUSTOM GROUP,100,7.258610585
GW,ELLIS PARK RACE COURSE,NS,BRENNTAG MID-SOUTH INC,100,7.257206482
GW,POTTERS RANCH,NS,THUSSENKRUPP ROTHE ERDE USA INC,50,7.256802317
SWP,MIDWAY MUNICIPAL WATER WORKS,NS,HAYASHI TELEMPU NA,25,7.24754879
GW,POTTERS RANCH,NS,MUBEA INC,50,7.241664557
SWP,CANNONSBURG WATER DISTRICT,NS,CATLETTSBURG REFINING LLC,75,7.238905555
GW,POTTERS RANCH,NS,CELANESE ENGINEERED MATERIALS,100,7.221318465
GW,POTTERS RANCH,NS,CAMCO CHEMICAL CO INC,100,7.220857033
GW,POTTERS RANCH,NS,CRANE COMPOSITES INC,50,7.194755448
SWP,GRAND RIVERS WATER SYSTEM,NS,SEKISUI SPECIALTY CHEMICALS AMERICA LLC,100,7.18500959
GW,BARLOW WATER SYSTEM,1.62,INGEVITY VIRGINIA CORP-WICKLIFFE CARBON PLANT,100,7.183927318
SW,GREENSBURG WATER WORKS,NS,KENTUCKY CHROME WORKS,50,7.176903489
SW,GREENVILLE UTILITIES COMMISSION,NS,KENAMERICAN RESOURCES INC,75,7.173447254
SWP,MUNFORDVILLE WATER DEPT,NS,KENTUCKY CHROME WORKS,50,7.170232338
GW,WESTERN SHORES PAVILION,NS,ISP CHEMICALS LLC,100,7.169193345
GW,POTTERS RANCH,NS,ARISTECH SURFACES LLC,50,7.160342803
GW,POTTERS RANCH,NS,ARISTECH SURFACES LLC,50,7.160342803
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,MUBEA INC,50,7.158703152
GW,WESTERN SHORES PAVILION,NS,EVONIK CORP,100,7.15787516
GWP,CAMP MICHAELS DAN BEARD COUNCIL,NS,M-I LLC SWECO DIV,25,7.154671207
SW,GREENVILLE UTILITIES COMMISSION,NS,DYNO NOBEL INC,100,7.147789072
SW,GREENVILLE UTILITIES COMMISSION,NS,ENSIGN-BICKFORD AEROSPACE & DEFENSE CO,50,7.147789072
